-25.02999814	2.03985700
-25.01999814	2.03985700
-25.00999814	2.03985700
-24.99999814	2.03985700
-24.98999814	2.03985700
-24.97999814	2.03985700
-24.96999814	2.03985700
-24.95999814	2.03985700
-24.94999814	2.03985700
-24.93999814	2.03985700
-24.92999814	2.03985700
-24.91999814	2.03985700
-24.90999814	2.03985700
-24.89999814	2.03985700
-24.88999814	2.03985700
-24.87999814	2.03985700
-24.86999814	2.03985700
-24.85999814	2.03985700
-24.84999814	1.99499500
-24.83999814	2.03985700
-24.82999814	2.03985700
-24.81999814	2.03985700
-24.80999814	2.03985700
-24.79999814	1.99499500
-24.78999814	2.03985700
-24.77999814	1.99499500
-24.76999814	2.03985700
-24.75999814	1.99499500
-24.74999814	1.99499500
-24.73999814	1.99499500
-24.72999814	1.99499500
-24.71999814	1.99499500
-24.70999814	1.99499500
-24.69999814	1.99499500
-24.68999814	1.99499500
-24.67999814	1.99499500
-24.66999814	1.95013300
-24.65999814	1.99499500
-24.64999814	1.95013300
-24.63999814	1.95013300
-24.62999814	1.95013300
-24.61999814	1.95013300
-24.60999814	1.95013300
-24.59999814	1.95013300
-24.58999814	1.95013300
-24.57999814	1.95013300
-24.56999814	1.95013300
-24.55999814	1.95013300
-24.54999814	1.90511800
-24.53999814	1.90511800
-24.52999814	1.90511800
-24.51999814	1.90511800
-24.50999814	1.90511800
-24.49999814	1.90511800
-24.48999814	1.90511800
-24.47999815	1.90511800
-24.46999815	1.86025600
-24.45999815	1.86025600
-24.44999815	1.90511800
-24.43999815	1.86025600
-24.42999815	1.86025600
-24.41999815	1.86025600
-24.40999815	1.86025600
-24.39999815	1.86025600
-24.38999815	1.86025600
-24.37999815	1.86025600
-24.36999815	1.86025600
-24.35999815	1.81524100
-24.34999815	1.81524100
-24.33999815	1.81524100
-24.32999815	1.81524100
-24.31999815	1.81524100
-24.30999815	1.81524100
-24.29999815	1.81524100
-24.28999815	1.81524100
-24.27999815	1.81524100
-24.26999815	1.81524100
-24.25999815	1.81524100
-24.24999815	1.81524100
-24.23999815	1.81524100
-24.22999815	1.81524100
-24.21999815	1.81524100
-24.20999815	1.81524100
-24.19999815	1.81524100
-24.18999815	1.81524100
-24.17999815	1.81524100
-24.16999815	1.81524100
-24.15999815	1.81524100
-24.14999815	1.81524100
-24.13999815	1.77037900
-24.12999815	1.77037900
-24.11999815	1.77037900
-24.10999815	1.77037900
-24.09999815	1.77037900
-24.08999815	1.77037900
-24.07999815	1.77037900
-24.06999815	1.77037900
-24.05999815	1.77037900
-24.04999815	1.72551700
-24.03999815	1.72551700
-24.02999815	1.72551700
-24.01999815	1.68050200
-24.00999815	1.68050200
-23.99999815	1.72551700
-23.98999815	1.72551700
-23.97999815	1.68050200
-23.96999815	1.68050200
-23.95999815	1.68050200
-23.94999815	1.68050200
-23.93999815	1.68050200
-23.92999815	1.68050200
-23.91999815	1.68050200
-23.90999815	1.68050200
-23.89999815	1.68050200
-23.88999815	1.68050200
-23.87999815	1.63564000
-23.86999815	1.63564000
-23.85999815	1.68050200
-23.84999815	1.63564000
-23.83999815	1.63564000
-23.82999815	1.63564000
-23.81999815	1.63564000
-23.80999815	1.63564000
-23.79999815	1.63564000
-23.78999815	1.63564000
-23.77999815	1.63564000
-23.76999815	1.63564000
-23.75999815	1.63564000
-23.74999815	1.63564000
-23.73999815	1.63564000
-23.72999815	1.63564000
-23.71999815	1.63564000
-23.70999815	1.63564000
-23.69999815	1.63564000
-23.68999815	1.63564000
-23.67999815	1.63564000
-23.66999815	1.63564000
-23.65999815	1.63564000
-23.64999815	1.63564000
-23.63999815	1.63564000
-23.62999815	1.63564000
-23.61999815	1.63564000
-23.60999815	1.63564000
-23.59999815	1.63564000
-23.58999815	1.63564000
-23.57999815	1.63564000
-23.56999815	1.63564000
-23.55999815	1.63564000
-23.54999815	1.63564000
-23.53999815	1.63564000
-23.52999815	1.63564000
-23.51999815	1.63564000
-23.50999815	1.63564000
-23.49999815	1.63564000
-23.48999815	1.63564000
-23.47999815	1.63564000
-23.46999815	1.63564000
-23.45999815	1.63564000
-23.44999815	1.63564000
-23.43999815	1.63564000
-23.42999815	1.63564000
-23.41999815	1.63564000
-23.40999815	1.63564000
-23.39999815	1.63564000
-23.38999815	1.63564000
-23.37999815	1.63564000
-23.36999815	1.63564000
-23.35999815	1.63564000
-23.34999815	1.63564000
-23.33999815	1.63564000
-23.32999815	1.63564000
-23.31999815	1.63564000
-23.30999815	1.63564000
-23.29999815	1.63564000
-23.28999815	1.63564000
-23.27999815	1.63564000
-23.26999815	1.63564000
-23.25999815	1.63564000
-23.24999815	1.63564000
-23.23999815	1.63564000
-23.22999815	1.63564000
-23.21999815	1.63564000
-23.20999815	1.63564000
-23.19999815	1.63564000
-23.18999815	1.63564000
-23.17999815	1.63564000
-23.16999815	1.59077700
-23.15999815	1.63564000
-23.14999815	1.63564000
-23.13999815	1.63564000
-23.12999815	1.63564000
-23.11999815	1.63564000
-23.10999815	1.63564000
-23.09999815	1.63564000
-23.08999815	1.63564000
-23.07999815	1.63564000
-23.06999815	1.63564000
-23.05999815	1.63564000
-23.04999815	1.63564000
-23.03999815	1.63564000
-23.02999815	1.63564000
-23.01999815	1.63564000
-23.00999815	1.63564000
-22.99999815	1.63564000
-22.98999815	1.63564000
-22.97999815	1.63564000
-22.96999815	1.63564000
-22.95999815	1.63564000
-22.94999815	1.63564000
-22.93999815	1.63564000
-22.92999815	1.63564000
-22.91999815	1.63564000
-22.90999815	1.63564000
-22.89999815	1.63564000
-22.88999815	1.63564000
